	Statement	Label	Primary_Evidence	Secondary_Evidence
3e743213-38d0-4d84-bb41-591e1fe8b7ac	Every patient in the Palbociclib+Letrozole Australia Cohort of NCT02679755 experienced Treatment-Emergent Adverse Events.	Entailment	Outcome Measurement:   Number of Participants With Treatment-Emergent Adverse Events (All Causalities)  An adverse event (AE) was any untoward medical occurrence in a clinical investigation participant administered a product; the event did not need to have a causal relationship with the treatment. All AEs reported after initiation of study drug treatment were considered as treatment emergent adverse events (TEAEs). AE severity was graded according to Common Terminology Criteria for AEs (CTCAE) version 4.03. Grade 1 AEs are mild AEs; Grade 2 AEs are moderate AEs; Grade 3 AEs are severe AEs, Grade 4 AEs are life-threatening consequences and Grade 5 AEs are deaths related to AEs. Each AE was counted once for the participant in the most severe severity. A serious adverse event (SAE) was an AE resulting in any of the following outcomes or deemed significant for any other reason: death; initial or prolonged inpatient hospitalization; life-threatening experience (immediate risk of dying); persistent or significant disability/incapacity; congenital anomaly.  Time frame: Baseline up to 28 days after last dose of study treatment, an average of 14 monthsResults 2:   Arm/Group Title: Palbociclib+Letrozole Australia Cohort  Arm/Group Description: Participants received Palbociclib orally once a day at 125 mg for 21 days followed by 7 days off treatment for each 28-day cycle. Participants received Letrozole orally at 2.5 mg once daily as continuous daily dosing schedule according to product labeling and in compliance with its local prescribing information  Overall Number of Participants Analyzed: 152  Measure Type: Count of Participants  Unit of Measure: Participants  Participants with adverse events: 152 100.0%  Participants with serious adverse events: 45  29.6%  Participants with grade 3 or 4 adverse events: 124  81.6%  Participants with grade 5 adverse events: 7   4.6%  Participants discontinued due to adverse events: 9   5.9%	
e7747d41-e7f2-4188-a9ea-703ef424901c	More patients in the Palbociclib+Letrozole Australia Cohort of NCT02679755 experienced Treatment-Emergent Adverse Events compared to patients in the Palbociclib+Letrozole India Cohort.	Contradiction	Results 1:   Arm/Group Title: Palbociclib+Letrozole India Cohort  Arm/Group Description: Participants received Palbociclib orally once a day at 125 mg for 21 days followed by 7 days off treatment ofr each 28-day cycle. Participants received Letrozole orally at 2.5 mg once daily as continuous daily dosing schedule according to product labeling and in compliance with its local prescribing information  Overall Number of Participants Analyzed: 100  Measure Type: Count of Participants  Unit of Measure: Participants  Participants with adverse events: 92  92.0%  Participants with serious adverse events: 18  18.0%  Participants with grade 3 or 4 adverse events: 69  69.0%  Participants with grade 5 adverse events: 3   3.0%  Participants discontinued due to adverse events: 2   2.0%Results 2:   Arm/Group Title: Palbociclib+Letrozole Australia Cohort  Arm/Group Description: Participants received Palbociclib orally once a day at 125 mg for 21 days followed by 7 days off treatment for each 28-day cycle. Participants received Letrozole orally at 2.5 mg once daily as continuous daily dosing schedule according to product labeling and in compliance with its local prescribing information  Overall Number of Participants Analyzed: 152  Measure Type: Count of Participants  Unit of Measure: Participants  Participants with adverse events: 152 100.0%  Participants with serious adverse events: 45  29.6%  Participants with grade 3 or 4 adverse events: 124  81.6%  Participants with grade 5 adverse events: 7   4.6%  Participants discontinued due to adverse events: 9   5.9%	
1ea004ba-6e38-4784-9df5-4b76ea04d36f	Patients participating in NCT01325207 and NCT02429427 experienced a variety of cardiac problems. 	Entailment	  Pericardial effusion  [1]0/3 (0.00%)	  Acute cardiac event * 1/1755 (0.06%)  Aortic valve incompetence * 1/1755 (0.06%)  Arrhythmia * 1/1755 (0.06%)  Atrial fibrillation * 1/1755 (0.06%)  Cardiac failure * 0/1755 (0.00%)  Cardiac tamponade * 0/1755 (0.00%)
50166cde-8249-4504-8b55-667f358207b7	Patients participating in NCT01325207 and NCT02429427 experienced serious eye disorders.	Contradiction	Adverse Events 1:  Total: 1/3 (33.33%)  Pericardial effusion  [1]0/3 (0.00%)  Abdominal muscle wall hemorrhage  [2]0/3 (0.00%)  Dehydration  [3]0/3 (0.00%)  Gastroenteritis 0/3 (0.00%)  Dehydration 0/3 (0.00%)  Vomiting  [4]0/3 (0.00%)  Colonic perforation  [5]0/3 (0.00%)  Abdominal pain 0/3 (0.00%)  Chemical meningitis 0/3 (0.00%)  Lung infection 0/3 (0.00%)  Wound infection 0/3 (0.00%)Adverse Events 2:  Total: 2/3 (66.67%)  Pericardial effusion  [1]0/3 (0.00%)  Abdominal muscle wall hemorrhage  [2]0/3 (0.00%)  Dehydration  [3]0/3 (0.00%)  Gastroenteritis 0/3 (0.00%)  Dehydration 0/3 (0.00%)  Vomiting  [4]0/3 (0.00%)  Colonic perforation  [5]0/3 (0.00%)  Abdominal pain 0/3 (0.00%)  Chemical meningitis 0/3 (0.00%)  Lung infection 0/3 (0.00%)  Wound infection 1/3 (33.33%)	Adverse Events 1:  Total: 148/1755 (8.43%)  Anaemia * 1/1755 (0.06%)  Neutropenia * 0/1755 (0.00%)  Thrombocytopenia * 0/1755 (0.00%)  Thrombocytopenic purpura * 1/1755 (0.06%)  Acute cardiac event * 1/1755 (0.06%)  Aortic valve incompetence * 1/1755 (0.06%)  Arrhythmia * 1/1755 (0.06%)  Atrial fibrillation * 1/1755 (0.06%)  Cardiac failure * 0/1755 (0.00%)  Cardiac tamponade * 0/1755 (0.00%)Adverse Events 2:  Total: 64/868 (7.37%)  Anaemia * 2/868 (0.23%)  Neutropenia * 2/868 (0.23%)  Thrombocytopenia * 1/868 (0.12%)  Thrombocytopenic purpura * 0/868 (0.00%)  Acute cardiac event * 0/868 (0.00%)  Aortic valve incompetence * 0/868 (0.00%)  Arrhythmia * 1/868 (0.12%)  Atrial fibrillation * 0/868 (0.00%)  Cardiac failure * 1/868 (0.12%)  Cardiac tamponade * 1/868 (0.12%)
33bda260-15a8-4e13-8652-cbb3fbba2ee4	Patients with a platelet count of 50 x 109/l are not eligible for NCT02429427	Entailment	Inclusion Criteria:  Pre-treatment haematology and biochemistry values within acceptable local limits: Haemoglobin, white blood cell greater or equal to 3.0 x 109/l or absolute neutrophil count greater or equal to 1.51 x 109/l, Platelets greater or equal to 100 x 109/l, Serum bilirubin less than 1.5 x upper normal limit , Alkaline phosphatase less or equal to 1.5 x upper normal limit , Serum creatinine less than 1.5 x upper normal limit	
d22e9d15-40e8-4342-aec2-7704d8b84646	Patients with a platelet count of 50,0000 x 109/l are not eligible for NCT02429427	Contradiction	Inclusion Criteria:  Pre-treatment haematology and biochemistry values within acceptable local limits: Haemoglobin, white blood cell greater or equal to 3.0 x 109/l or absolute neutrophil count greater or equal to 1.51 x 109/l, Platelets greater or equal to 100 x 109/l, Serum bilirubin less than 1.5 x upper normal limit , Alkaline phosphatase less or equal to 1.5 x upper normal limit , Serum creatinine less than 1.5 x upper normal limit	
17804c3d-3a64-47b5-aff3-a55de177d84c	NCT01432886 is testing for the DLT of its interventions, whereas NCT02336737 is evaluating the efficacy of lymph node detection through the use of SentiMag and SiennaXP. 	Entailment	Outcome Measurement:   Number of Participants With Detected Lymph Nodes  The proportion of lymph nodes detected intraoperatively by SentiMag and SiennaXP in relation the proportion of lymph nodes detected by the combination of Technetium Sulfur Colloid and Isosulfan blue dye	Outcome Measurement:   Number of Participants With Dose Limiting Toxicity (DLT)
b37365e7-d3df-4a69-949b-59d4dbae5cc5	NCT01432886 is testing for the DLT of its interventions, whereas NCT02336737 is evaluating the dose limiting toxicity for SentiMag and SiennaXP. 	Contradiction	Outcome Measurement:   Number of Participants With Detected Lymph Nodes  The proportion of lymph nodes detected intraoperatively by SentiMag and SiennaXP in relation the proportion of lymph nodes detected by the combination of Technetium Sulfur Colloid and Isosulfan blue dye	Outcome Measurement:   Number of Participants With Dose Limiting Toxicity (DLT)
3c8e98ec-20c0-45c2-86cd-defcb9479dcd	None of the patients in either cohort of NCT01432886 experienced DLT.	Entailment	Results 1:   Arm/Group Title: E7389 With Weekly Trastuzumab  Arm/Group Description: Eribulin mesylate (E7389) was administered intravenously on Day 1 and Day 8 of each 3 week cycle. Trastuzumab was administered intravenously weekly, with an initial dose of 4 mg/kg followed by 2 mg/kg for the remaining doses.  Overall Number of Participants Analyzed: 6  Measure Type: Number  Unit of Measure: Participants  0Results 2:   Arm/Group Title: E7389 With Tri-weekly Trastuzumab  Arm/Group Description: Eribulin mesylate (E7389) was administered intravenously on Day 1 and Day 8 of each 3 week cycle. Trastuzumab was administered intravenously tri-weekly, with an initial dose of 8 mg/kg followed by 6 mg/kg for the remaining doses.  Overall Number of Participants Analyzed: 6  Measure Type: Number  Unit of Measure: Participants  0	
4c17068b-c2dd-4dbb-8fa5-0ff1085d0e76	One of the patients in cohort 2 of NCT01432886 experienced neutropenia persisting for more than 7 days.	Contradiction	Results 1:   Arm/Group Title: E7389 With Weekly Trastuzumab  Arm/Group Description: Eribulin mesylate (E7389) was administered intravenously on Day 1 and Day 8 of each 3 week cycle. Trastuzumab was administered intravenously weekly, with an initial dose of 4 mg/kg followed by 2 mg/kg for the remaining doses.  Overall Number of Participants Analyzed: 6  Measure Type: Number  Unit of Measure: Participants  0Results 2:   Arm/Group Title: E7389 With Tri-weekly Trastuzumab  Arm/Group Description: Eribulin mesylate (E7389) was administered intravenously on Day 1 and Day 8 of each 3 week cycle. Trastuzumab was administered intravenously tri-weekly, with an initial dose of 8 mg/kg followed by 6 mg/kg for the remaining doses.  Overall Number of Participants Analyzed: 6  Measure Type: Number  Unit of Measure: Participants  0	
f1bc5ac7-a3d0-4594-9d53-7e5132882913	11 patients in NCT03165955 suffer from a liver disease, 0 in NCT00912340.	Entailment	  Hepatitis acute 1/28 (3.57%)	Adverse Events 1:  Total: 1/24 (4.17%)  Pericardial effusion *1/24 (4.17%)  Other cardiac disorder *0/24 (0.00%)  Ejection fraction decrease *0/24 (0.00%)  Hypertension *0/24 (0.00%)  Salivary gland infection *0/24 (0.00%)  Pleural effusion *0/24 (0.00%)Adverse Events 2:  Total: 6/30 (20.00%)  Pericardial effusion *1/30 (3.33%)  Other cardiac disorder *1/30 (3.33%)  Ejection fraction decrease *1/30 (3.33%)  Hypertension *1/30 (3.33%)  Salivary gland infection *1/30 (3.33%)  Pleural effusion *2/30 (6.67%)
eb85cc52-e096-4e7e-abb8-7eec2cbb8462	2 patients in NCT03165955 suffer from DVT, 0 in NCT00912340.	Contradiction	  Deep vein thrombosis 1/28 (3.57%)	Adverse Events 1:  Total: 1/24 (4.17%)  Pericardial effusion *1/24 (4.17%)  Other cardiac disorder *0/24 (0.00%)  Ejection fraction decrease *0/24 (0.00%)  Hypertension *0/24 (0.00%)  Salivary gland infection *0/24 (0.00%)  Pleural effusion *0/24 (0.00%)Adverse Events 2:  Total: 6/30 (20.00%)  Pericardial effusion *1/30 (3.33%)  Other cardiac disorder *1/30 (3.33%)  Ejection fraction decrease *1/30 (3.33%)  Hypertension *1/30 (3.33%)  Salivary gland infection *1/30 (3.33%)  Pleural effusion *2/30 (6.67%)
3edfe22b-e1de-41c4-b382-1e7f4baad099	More patients in cohort 2 of NCT00912340 suffered from Pleural effusions than in cohort 1.	Entailment	Adverse Events 1:  Pleural effusion *0/24 (0.00%)Adverse Events 2:  Pleural effusion *2/30 (6.67%)	
2cf20f74-cfbd-402e-ad44-78aefba7dab6	Less patients in cohort 2 of NCT00912340 had an unusual amount of fluid around the lungs than in cohort 1.	Contradiction	Adverse Events 1:  Pleural effusion *0/24 (0.00%)Adverse Events 2:  Pleural effusion *2/30 (6.67%)	
12349e00-487a-4f36-a701-e4a84f77dd74	Neutropenia was the most common adverse event for patients in cohort 1 of NCT01427933.	Entailment	Adverse Events 1:  Total: 26/69 (37.68%)  Anaemia 2/69 (2.90%)  Febrile neutropenia 3/69 (4.35%)  Neutropenia 4/69 (5.80%)  Cardiac arrest 1/69 (1.45%)  Cardiac failure congestive 1/69 (1.45%)  Cardiac tamponade 1/69 (1.45%)  Pericardial effusion 1/69 (1.45%)  Abdominal pain 1/69 (1.45%)  Ascites 2/69 (2.90%)  Colitis 1/69 (1.45%)  Gastritis 1/69 (1.45%)  Gastritis erosive 1/69 (1.45%)	
153c9ba8-4888-4bb7-90d3-8bf7f8fc9cc7	Neutropenia affected the majority of patients in cohort 1 of NCT01427933.	Contradiction	Adverse Events 1:  Neutropenia 4/69 (5.80%)	
c96c7266-b52d-4626-a07a-e85fab536cb4	Skin infections were more common in patients in cohort 1 of NCT00828074, than in cohort 1 of NCT00810797.	Entailment	Adverse Events 1:  Skin infection * 1/36 (2.78%)	Adverse Events 1:  Skin infection * 2/41 (4.88%)
85e97baa-9579-42ef-a71a-652c2b3de936	Skin infections were more common in patients in cohort 2 of NCT00828074, than in cohort 1 of NCT00810797.	Contradiction	Adverse Events 1:  Skin infection * 1/36 (2.78%)	Adverse Events 2:  Skin infection * 0/5 (0.00%)
4e46fb0f-7226-4d6b-a7ec-3012466207c0	A higher percentage of cohort 1 of NCT00828074 showed signs of fever, compared to cohort 2.	Entailment	Adverse Events 1:  Fever * 2/41 (4.88%)Adverse Events 2:  Fever * 0/5 (0.00%)	
adf2f0e7-92b9-40c1-93c4-b499e01aafd9	A higher number of cohort 2 participants from NCT00828074 experienced fever, compared to cohort 1.	Contradiction	Adverse Events 1:  Fever * 2/41 (4.88%)Adverse Events 2:  Fever * 0/5 (0.00%)	
2a09758f-505e-4019-ab12-ee5d10f3c4ce	At least 1 participant in NCT01300351 showed signs of poor liver function.	Entailment	Adverse Events 1:  Hepatic function abnormal * 1/109 (0.92%)	
90df60ed-a964-4432-a55d-ef7e332700b7	At least 1 participant in each cohort of NCT01300351 showed signs of poor liver function.	Contradiction	Adverse Events 1:  Hepatic function abnormal * 1/109 (0.92%)	
d7dc3ead-bd42-4a38-9fe0-f9bf115a59db	Less than a quarter of participants in NCT01365845 had radiation dermatitis.	Entailment	  Radiation dermatitis 2 [1]4/18 (22.22%)	
58717623-f213-4eb6-a64b-b2fa54dc4cf0	More than 18 participants in NCT01365845 had radiation dermatitis.	Contradiction	  Radiation dermatitis 2 [1]4/18 (22.22%)	
eac406b9-3eea-4608-a4ba-0f7174ab7b9e	None of the patients in NCT01565499 were recorded as having heart related adverse events, whereas many patients in NCT01234402 experienced several different heart related issues.	Entailment	Adverse Events 1:  Total: 6/81 (7.41%)  Colitis  [1]1/81 (1.23%)  Multiple Sclerosis Relapse 1/81 (1.23%)  Neurotoxicity  [2]2/81 (2.47%)  Community-acquired pneumonia 1/81 (1.23%)  Local Infection Reservoir Area 1/81 (1.23%)	Adverse Events 1:  Total: 20/52 (38.46%)  Anaemia 0/52 (0.00%)  Pancytopenia 1/52 (1.92%)  Acute myocardial infarction 0/52 (0.00%)  Atrial fibrillation 0/52 (0.00%)  Cardiac failure 1/52 (1.92%)  Cardiogenic shock 1/52 (1.92%)  Palpitations 0/52 (0.00%)  Pericardial effusion 0/52 (0.00%)  Right ventricular failure 1/52 (1.92%)  Abdominal pain 0/52 (0.00%)  Ascites 3/52 (5.77%)Adverse Events 2:  Total: 25/49 (51.02%)  Anaemia 2/49 (4.08%)  Pancytopenia 0/49 (0.00%)  Acute myocardial infarction 1/49 (2.04%)  Atrial fibrillation 1/49 (2.04%)  Cardiac failure 0/49 (0.00%)  Cardiogenic shock 0/49 (0.00%)  Palpitations 1/49 (2.04%)  Pericardial effusion 4/49 (8.16%)  Right ventricular failure 0/49 (0.00%)  Abdominal pain 1/49 (2.04%)  Ascites 0/49 (0.00%)
a9749c96-7975-4465-b2f3-544864bd11f3	Some of the patients in NCT01565499 were recorded as having heart related adverse events, whereas many patients in NCT01234402 experienced several different breathing related issues.	Contradiction	Adverse Events 1:  Total: 6/81 (7.41%)  Colitis  [1]1/81 (1.23%)  Multiple Sclerosis Relapse 1/81 (1.23%)  Neurotoxicity  [2]2/81 (2.47%)  Community-acquired pneumonia 1/81 (1.23%)  Local Infection Reservoir Area 1/81 (1.23%)	Adverse Events 1:  Total: 20/52 (38.46%)  Anaemia 0/52 (0.00%)  Pancytopenia 1/52 (1.92%)  Acute myocardial infarction 0/52 (0.00%)  Atrial fibrillation 0/52 (0.00%)  Cardiac failure 1/52 (1.92%)  Cardiogenic shock 1/52 (1.92%)  Palpitations 0/52 (0.00%)  Pericardial effusion 0/52 (0.00%)  Right ventricular failure 1/52 (1.92%)  Abdominal pain 0/52 (0.00%)  Ascites 3/52 (5.77%)Adverse Events 2:  Total: 25/49 (51.02%)  Anaemia 2/49 (4.08%)  Pancytopenia 0/49 (0.00%)  Acute myocardial infarction 1/49 (2.04%)  Atrial fibrillation 1/49 (2.04%)  Cardiac failure 0/49 (0.00%)  Cardiogenic shock 0/49 (0.00%)  Palpitations 1/49 (2.04%)  Pericardial effusion 4/49 (8.16%)  Right ventricular failure 0/49 (0.00%)  Abdominal pain 1/49 (2.04%)  Ascites 0/49 (0.00%)
1f4e5c52-f225-41cb-962c-88f0f75a7271	NCT01234402 more than 6 different types of cardiac related adverse events.	Entailment	Adverse Events 1:  Acute myocardial infarction 0/52 (0.00%)  Atrial fibrillation 0/52 (0.00%)  Cardiac failure 1/52 (1.92%)  Cardiogenic shock 1/52 (1.92%)  Palpitations 0/52 (0.00%)  Pericardial effusion 0/52 (0.00%)  Right ventricular failure 1/52 (1.92%)Adverse Events 2:  Acute myocardial infarction 1/49 (2.04%)  Atrial fibrillation 1/49 (2.04%)  Cardiac failure 0/49 (0.00%)  Cardiogenic shock 0/49 (0.00%)  Palpitations 1/49 (2.04%)  Pericardial effusion 4/49 (8.16%)  Right ventricular failure 0/49 (0.00%)	
b5bcd9ce-c271-46a2-9208-e65a8067714a	NCT01234402 at least 8 different types of cardiac related adverse events.	Contradiction	Adverse Events 1:  Acute myocardial infarction 0/52 (0.00%)  Atrial fibrillation 0/52 (0.00%)  Cardiac failure 1/52 (1.92%)  Cardiogenic shock 1/52 (1.92%)  Palpitations 0/52 (0.00%)  Pericardial effusion 0/52 (0.00%)  Right ventricular failure 1/52 (1.92%)Adverse Events 2:  Acute myocardial infarction 1/49 (2.04%)  Atrial fibrillation 1/49 (2.04%)  Cardiac failure 0/49 (0.00%)  Cardiogenic shock 0/49 (0.00%)  Palpitations 1/49 (2.04%)  Pericardial effusion 4/49 (8.16%)  Right ventricular failure 0/49 (0.00%)	
c6ba6991-7e38-4025-a13a-47d8e340fcff	57% of patients in cohort 1 of NCT00723125 had Pathological Complete Response Rates at Surgery.	Entailment	Outcome Measurement:   Pathological Complete Response Rates at Surgery  [Not Specified]  Time frame: at surgery approximately 5 months after initial treatmentResults 1:   Arm/Group Title: Cohort 1  Arm/Group Description: Avastin 10 mg/kg IV over 90 minutes day -14 Abraxane 100 mg/m2 IV over 30 minutes weekly x 12 weeks with Carboplatin at AUC 6 over 30 min IV and Avastin 15 mg/kg IV over 30-90 minutes weeks 1,4,7, and 10 Avastin 10 mg/kg IV over 30-60 minutes cycles 1-3 (omit dose with cycle 4) Doxorubicin 60 mg/m2* and Cyclophosphamide 600 mg/m2 IV q2weeks x 4 cycles Definitive surgery Avastin 10 mg/kg IV over 30-60 minutes q2weeks x 34 weeks  Cohort 1 and Cohort 2: Abraxane 100 mg/m2 IV over 30 minutes weekly x 12 weeks with Carboplatin at AUC 6 over 30 min IV and Avastin 15 mg/kg IV over 30-90 minutes weeks 1,4,7, and 10 (in Cohort 2, omit dose of Avastin on week 10)  Overall Number of Participants Analyzed: 28  Measure Type: Number  Unit of Measure: participants  16	
fae7bef5-0e47-4d53-8142-f4c4b68dc2dc	57% of patients in cohort 1 of NCT00723125 had Pathological Complete Response Rates at Surgery, compared to 60% in cohort 1 of NCT00617942.	Contradiction	Outcome Measurement:   Pathological Complete Response Rates at Surgery  [Not Specified]  Time frame: at surgery approximately 5 months after initial treatmentResults 1:   Arm/Group Title: Cohort 1  Arm/Group Description: Avastin 10 mg/kg IV over 90 minutes day -14 Abraxane 100 mg/m2 IV over 30 minutes weekly x 12 weeks with Carboplatin at AUC 6 over 30 min IV and Avastin 15 mg/kg IV over 30-90 minutes weeks 1,4,7, and 10 Avastin 10 mg/kg IV over 30-60 minutes cycles 1-3 (omit dose with cycle 4) Doxorubicin 60 mg/m2* and Cyclophosphamide 600 mg/m2 IV q2weeks x 4 cycles Definitive surgery Avastin 10 mg/kg IV over 30-60 minutes q2weeks x 34 weeks  Cohort 1 and Cohort 2: Abraxane 100 mg/m2 IV over 30 minutes weekly x 12 weeks with Carboplatin at AUC 6 over 30 min IV and Avastin 15 mg/kg IV over 30-90 minutes weeks 1,4,7, and 10 (in Cohort 2, omit dose of Avastin on week 10)  Overall Number of Participants Analyzed: 28  Measure Type: Number  Unit of Measure: participants  16	Outcome Measurement:   Number of Patients With Complete Pathologic Response Rate, Observed Following Treatment With q3week Carboplatin, Weekly Abraxane and Weekly Trastuzumab in Resectable and Unresectable LABC;  These numbers represent patients with a RCB score of zero (0). RCB stands for residual cancer burden.Time frame: 1 yearResults 1:   Arm/Group Title: Cohort 1  Arm/Group Description: [Not Specified]  Overall Number of Participants Analyzed: 37  Measure Type: Number  Unit of Measure: participants  12
